parameters:
P = 0.900000	Q = 0.100000	D_A = 0.090000	error rate = 0.010000	average coverage per site = 3	sample size = 100	# of iterations = 10000

iteration	sample P	sample Q	sample error rate	sample p	sample D_A	best_major_allele_freq	best_D_A	best_f	estimated P	estimated Q	best_error	HWE_maxll	null_maxll	maxll	pol_llstat	HWE_llstat
143	0.910000	0.090000	0.003145	0.910000	0.081900	0.900000	0.080000	0.888889	0.890000	0.090000	0.000000	-47.137655	-118.573639	-36.340847	164.465585	21.593616
144	0.900000	0.100000	0.003623	0.900000	0.090000	0.900000	0.090000	1.000000	0.900000	0.100000	0.005435	-53.816750	-134.173636	-37.171915	194.003442	33.289670
145	0.940000	0.060000	0.003268	0.940000	0.056400	0.935000	0.055775	0.917729	0.930000	0.060000	0.000000	-39.971644	-114.032791	-29.633627	168.798328	20.676034
146	0.950000	0.050000	0.010169	0.950000	0.047500	0.960000	0.038400	1.000000	0.960000	0.040000	0.010169	-42.851498	-75.775073	-36.551568	78.447010	12.599861
147	0.880000	0.120000	0.009585	0.880000	0.105600	0.880000	0.105600	1.000000	0.880000	0.120000	0.009585	-72.389262	-157.468540	-56.735160	201.466759	31.308203
148	0.870000	0.130000	0.003205	0.870000	0.113100	0.860000	0.120400	1.000000	0.860000	0.140000	0.004808	-66.740405	-163.428146	-46.008960	234.838371	41.462889
149	0.930000	0.070000	0.006494	0.930000	0.065100	0.930000	0.065100	1.000000	0.930000	0.070000	0.004870	-51.401163	-121.168007	-39.557020	163.221975	23.688285
150	0.880000	0.120000	0.006536	0.880000	0.105600	0.880000	0.105600	1.000000	0.880000	0.120000	0.004902	-64.162432	-131.108849	-50.876963	160.463773	26.570938
151	0.910000	0.090000	0.009288	0.910000	0.081900	0.900000	0.090000	1.000000	0.900000	0.100000	0.013932	-65.936538	-142.785689	-50.091499	185.388380	31.690078
152	0.910000	0.090000	0.006849	0.910000	0.081900	0.915000	0.072775	0.935712	0.910000	0.080000	0.005137	-48.733052	-94.891549	-41.064790	107.653517	15.336523
